"codMinInterno","codIstat","anno","QliRifiuti","KmStrade","Studenti","NrPuntiLuce","NrPermessi","NrIscritti","KmPolizia","NrCertificati","ImpTot","ImpPers","ImpNoPers","vecchiaia","laurea","superficie","altitudine","litoraneità","gradourb","ruralità","PopTot"
1010812290,1238,1994,150,6.40922832489014,36,70,8,332.45382585752,1409,169,231530.73,74740.61,156790.12,0.184000000357628,0.128000006079674,3.43,550,0,2,1,375
1010812300,1239,1994,133.699998915195,8.27439403533936,35,64,10,363.16632771492,1821,237,198719.7,96170.1049804688,102549.595019531,0.185463652014732,0.11779448390007,3.28,430,0,2,0,399
1010812330,1243,1994,1050.49997806549,44.6253204345703,277,350,30,2189.87302808773,9789,1074,1309227.54,414988.61,894238.93,0.130232557654381,0.144573643803596,8.86,320,0,2,0,2580
1010812340,1244,1994,874.75438284874,61.5587425231934,203,375,35,2057,10779,1221,1085528.36,427032.389221191,658495.970778809,0.224882423877716,0.117144078016281,20.36,300,0,2,0,2339
1010812400,1250,1994,3485,38,132,410,23,1232,6377,495,483534.84,258519.821777344,225015.018222656,0.165254235267639,0.12570621073246,12.43,451,0,2,0,1416
1010812420,1252,1994,1013.70009541512,60,274,385,50,2263.03647526183,9298,1385,1086561.28,417242.43,669318.85,0.147257700562477,0.125845223665237,11.17,195,0,2,0,2662
1010812440,1254,1994,1313.48996049166,84.7246017456055,266,594,64,3002.33145065398,10000,1080,1355402.91,609968.025817871,745434.884182129,0.196947023272514,0.10416042804718,12.62,413,0,2,0,3341
1010812460,1256,1994,1460.19991242886,69.1659240722656,371,715,70,3339.09514321295,11294,2003,1515316.05,532312.64,983003.41,0.176012068986893,0.125722900032997,9.96,380,0,2,0,3977
1010812480,1258,1994,254,9.16656684875488,12,70,3,173,393,119,122091.734619141,53629.92,68461.8146191406,0.145945951342583,0.0864864885807037,78.52,1560,0,1,1,185
1010812540,1264,1994,190.000010728836,8.52492332458496,37,75,12,479,1870,420,192851.72,127744.750976562,65106.9690234375,0.27358490228653,0.0943396240472794,6.08,258,0,1,1,530
